	gt	ms_total	512-256	256-128	128-64	64-32	32-16	frac	local_max	local_min	2parts
0	97	7.918277654235227e-21	0.1302581953248314	0.10038741916743968	0.05877512055277045	0.03196230812432909	0.016745490394564102	-0.1470036857193955	1	1	7.918277654235227e-21
1	89	2.2317401684336858e-20	0.1091935814333975	0.08892364349326948	0.054921218530536206	0.031497161805008306	0.017587327748189857	-0.12678090918158735	1	1	2.2317401684336858e-20
2	98	-4.8120981690486004e-20	0.130992908872296	0.10334376432819745	0.05992791541778655	0.033494674202211853	0.01873462104386399	-0.14972752991616	1	1	-4.8120981690486004e-20
3	98	-1.1225416008928311e-20	0.13977660459348165	0.10125768805738246	0.05988008769056206	0.03324332210825547	0.017543509747534557	-0.1573201143410162	1	1	-1.1225416008928311e-20
4	44	-2.4197399251989487e-20	0.11870185485813706	0.066525133454696	0.03876514963649284	0.02266035530423878	0.01357363705490358	-0.13227549191304064	1	1	-2.4197399251989487e-20
5	8	-3.43237414887483e-21	0.1430210504846196	0.09587930801016781	0.05333566704214704	0.027257436889124874	0.01346713152365214	-0.15648818200827175	1	1	-3.43237414887483e-21
6	19	2.314467337354492e-21	0.1705330499782999	0.08753594175890449	0.049514157990380676	0.029591638175164966	0.017409412704581805	-0.1879424626828817	1	1	2.314467337354492e-21
7	8	3.352822816826808e-21	0.1328920038223129	0.09192011891571467	0.056332732608410575	0.03352241275622026	0.019642170695664353	-0.15253417451797724	1	1	3.352822816826808e-21
8	2	8.904422560004076e-21	0.22205410502911926	0.08478821370642615	0.02890454788577229	0.012403669163485058	0.005543122065457862	-0.22759722709457714	1	1	8.904422560004076e-21
9	28	-6.2017337979570214e-21	0.20666296916556556	0.10820248061247043	0.05387179685443074	0.026026460173394765	0.01257292739603671	-0.21923589656160228	1	1	-6.2017337979570214e-21
10	58	-1.9974805042988775e-21	0.23548970099766672	0.09509774827857538	0.04828686671055932	0.0259546580364104	0.01410615995200423	-0.24959586094967096	1	1	-1.9974805042988775e-21
11	14	6.229138989795276e-21	0.1755702549492913	0.08767494125705738	0.05269483546205458	0.03143966014672296	0.01811782250417061	-0.1936880774534619	1	1	6.229138989795276e-21
12	41	9.248565368237668e-21	0.1500430452867614	0.107793633221457	0.06069510872665751	0.032880215834892784	0.017163124591892103	-0.1672061698786535	1	1	9.248565368237668e-21
13	17	4.012693571711739e-21	0.14182535381633932	0.09707382101660714	0.056316057872247256	0.033527730043493006	0.018929760421056072	-0.16075511423739539	1	1	4.012693571711739e-21
14	15	3.118534874646922e-20	0.15446220596464033	0.04856923016801011	0.03539525851308138	0.023445748513294173	0.014787602663975198	-0.16924980862861552	1	1	3.118534874646922e-20
15	32	-3.004388067510799e-21	0.14864767930682504	0.11749520479413356	0.061598356582448624	0.03247303273059869	0.016767948170523593	-0.16541562747734864	1	1	-3.004388067510799e-21
16	45	-3.8907281802475283e-22	0.11803169692191023	0.09948408675156088	0.05730811365528231	0.030254960246953632	0.01605044740070785	-0.13408214432261809	1	1	-3.8907281802475283e-22
17	0	9.928123115384173e-24	0.10307611045193477	0.0841016520609446	0.051813341698185966	0.030873248297722814	0.01808594808752706	-0.12116205853946183	1	1	9.928123115384173e-24
18	2	6.6521241902862136e-21	0.10967483271346509	0.09051935477690605	0.056737167468159995	0.03425750899196661	0.020524843663068514	-0.1301996763765336	1	1	6.6521241902862136e-21
19	3	-2.304778048738707e-20	0.12140956366217825	0.08897236634046342	0.055982456553144745	0.03403709111474923	0.02053041737714323	-0.14193998103932148	1	1	-2.304778048738707e-20
20	8	-3.079684913742419e-20	0.2367080221057928	0.1029266544274434	0.04340469384353677	0.02092548662793576	0.010908186342821433	-0.24761620844861423	1	1	-3.079684913742419e-20
21	5	-4.6186541026194405e-21	0.10325083262002714	0.08935445998312626	0.05745981076377875	0.03551208058890999	0.02113937064703362	-0.12439020326706077	1	1	-4.6186541026194405e-21
22	60	3.7293647068049945e-20	0.08683820748061383	0.0855338433113067	0.05935391806910883	0.03754140547655324	0.02250459246359854	-0.10934279994421237	1	1	3.7293647068049945e-20
